"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"TripsLt15Miles","cog",2678,0.0179775077069194,0.0185563991567339,-0.0184089478509802,0.0543639632648189,0.968803675490865,2656,0.332731363146567,1
"PercentDistLt15Miles_n","cog",2675,0.0198566105688396,0.0196792193243737,-0.0187315552961798,0.0584447764338589,1.00901414032447,2653,0.313059868860451,1
"TripsVgt60","cog",2680,-0.037052350370941,0.0202584879200929,-0.0767763459196712,0.00267164517778927,-1.82897906877796,2658,0.0675147313118828,0.99482980960838
"PercentTripsVgt60_n","cog",2676,-0.0315747990371985,0.0207571594953876,-0.0722766461248354,0.00912704805043834,-1.52115220987798,2654,0.128340770155184,1
"SpeedingPer1000Miles","cog",2672,-0.0285383381202113,0.0191217114853566,-0.066033329335185,0.00895665309476235,-1.49245731178749,2650,0.135698336464659,1
"DecelerationPer1000Miles","cog",2678,0.0411490842128355,0.0188055357179152,0.00427410734567191,0.078024061079999,2.18813677153768,2656,0.0287464829313914,0.587235257179318
"DaysDriving","phys",2662,-0.101069518910069,0.0192125878639629,-0.138742771149466,-0.0633962666706716,-5.26058850716541,2640,0.000000155113600550382,0.0000557686269232853
"Miles_n","phys",2661,-0.057046420341033,0.0200251751125457,-0.0963130516567366,-0.0177797890253295,-2.84873515564385,2639,0.0044233399738814,0.179563984353265
"Trips","phys",2660,-0.104838440451428,0.019093364822259,-0.142277925661677,-0.0673989552411796,-5.49083105190593,2638,0.0000000438202353837021,0.0000393871709207483
"TripMinutes_n","phys",2661,-0.0310935533872869,0.0197149742158873,-0.0697519231435071,0.00756481636893338,-1.57715414926742,2639,0.114879915772541,1
"TripChains","phys",2662,-0.0651468457336737,0.0196761624514657,-0.103729104218894,-0.0265645872484535,-3.31095282905742,2640,0.000942301127889172,0.0584119615027628
"MilesPerTrip_n","phys",2659,0.0092455034699336,0.0202197283641753,-0.0304026339781633,0.0488936409180304,0.457251616016489,2637,0.647527868643007,1
"MinutesPerTrip_n","phys",2657,0.0891498215116089,0.0196660381902608,0.0505873817525306,0.127712261270687,4.53318663622643,2635,0.00000606942075019877,0.00115141596934615
"MilesPerChain_n","phys",2656,-0.00237504472768388,0.0197476175102913,-0.0410974572501162,0.0363473677947484,-0.120269937699884,2634,0.904278490148777,1
"MinutesPerChain_n","phys",2656,0.0388924747112496,0.0195087494375786,0.000638450238423814,0.0771464991840754,1.99359137989303,2634,0.0462996923132359,0.761815852245065
"Average_speed","phys",2659,-0.120004775773699,0.0226278119763561,-0.164374837686984,-0.0756347138604145,-5.30341934514449,2637,0.000000123082461248964,0.0000553154255803288
"LeftTurnCount","phys",2661,-0.0596101018572471,0.0196770662876773,-0.098194139347577,-0.0210260643669171,-3.02942018824105,2639,0.00247398958554419,0.121850942651165
"RightToLeftTurnRatio_n","phys",2662,0.0231000250077567,0.0212196752208901,-0.0185088505219236,0.064708900537437,1.08861350455616,2640,0.276423724836808,1
"TripsAMPeak","phys",2659,-0.100575013020524,0.0194872438177024,-0.138786847890559,-0.062363178150488,-5.16106915689946,2637,0.00000026381333713939,0.0000677499197091213
"PercentTripsAMPeak_n","phys",2656,-0.0760122289652897,0.0195614237569064,-0.114369540668653,-0.0376549172619264,-3.88582292934851,2634,0.000104498081712439,0.0095817579958162
"TripsPMPeak","phys",2662,-0.0460710882964409,0.0195704767737213,-0.0844461116489478,-0.00769606494393401,-2.35411169738613,2640,0.0186399237806314,0.45901972591931
"PercentTripsPMPeak_n","phys",2660,0.0344669522455629,0.0196740285869015,-0.00411113543893979,0.0730450399300655,1.75190109607293,2638,0.0799070048897284,1
"TripsAtNight","phys",2660,-0.0126102449363349,0.020254753716967,-0.0523270554243195,0.0271065655516498,-0.622581992975384,2638,0.533613058485121,1
"PercentTripsAtNight_n","phys",2657,0.0186674541733324,0.020403490369652,-0.0213410295203629,0.0586759378670277,0.914914744248768,2635,0.360320103355047,1
"TripsLt15Miles","phys",2660,-0.106699302158171,0.0191812552616917,-0.144311128537087,-0.0690874757792553,-5.56268610695508,2638,0.0000000292360022724623,0.0000393871709207483
"PercentDistLt15Miles_n","phys",2657,-0.0188921682880576,0.0204205316323705,-0.0589340675919863,0.0211497310158711,-0.925155555603157,2635,0.354969715868783,1
"TripsVgt60","phys",2662,-0.00836676802489633,0.0211739508296281,-0.0498859842885943,0.0331524482388016,-0.395144396632345,2640,0.692768249208949,1
"PercentTripsVgt60_n","phys",2658,0.0291228410075954,0.021593727304249,-0.0132195288748697,0.0714652108900605,1.34867133391394,2636,0.177558410319557,1
"SpeedingPer1000Miles","phys",2654,0.0188376016127986,0.0198565126441825,-0.0200983531707238,0.057773556396321,0.948686305110961,2632,0.342867277298772,1
"DecelerationPer1000Miles","phys",2660,0.0223343703942267,0.0196239085415375,-0.0161454387147285,0.0608141795031819,1.13812038753401,2638,0.255173567784205,1
"DaysDriving","fati",2680,-0.0394628943987394,0.0195504341103223,-0.0777984977585496,-0.00112729103892916,-2.01851755188922,2658,0.043637637225461,0.754289332018766
"Miles_n","fati",2679,-0.0406448833368285,0.0203288906935977,-0.0805069354835309,-0.000782831190126107,-1.99936553102866,2657,0.0456704831241069,0.761815852245065
"Trips","fati",2678,-0.039878150034758,0.019538279086797,-0.0781899322757427,-0.00156636779377336,-2.04102673820979,2656,0.0413468296419159,0.738913501752389
