"Variable","n_Obs","Mean","SD","Median","MAD","Min","Max","Skewness","Kurtosis","percentage_Missing"
"INCOME_20K_to_49999",2658,0.22084273890143,0.414892739205098,0,0,0,1,1.34669731947953,-0.186547262772481,0
"INCOME_50K_to_79999",2658,0.252445447705041,0.434497146005646,0,0,0,1,1.14035715140103,-0.70011293057271,0
"INCOME_80K_to_99999",2658,0.148231753197893,0.355396426490727,0,0,0,1,1.98107300068352,1.92609895244903,0
"INCOME_100K_or_more",2658,0.336719337848006,0.472676932331503,0,0,0,1,0.691396610584883,-1.52311735630472,0
"GENDER_Male",2658,0.474416854778029,0.499439032747031,0,0,0,1,0.102524664513042,-1.99098736936078,0
"GENDER_Female",2658,0.525583145221971,0.499439032747031,1,0,0,1,-0.102524664513042,-1.99098736936078,0
"RACE_White",2658,0.858916478555305,0.348173188024225,1,0,0,1,-2.06326483108157,2.25876079154657,0
"RACE_Black",2658,0.072234762979684,0.258924940412744,0,0,0,1,3.30665210323249,8.94067493748644,0
"RACE_American_Indian",2658,0.00639578630549285,0.0797325026147144,0,0,0,1,12.3908290199156,151.646749172778,0
"RACE_Asian",2658,0.0214446952595937,0.144888640833074,0,0,0,1,6.61081034230091,41.7342155448779,0
"RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander",2658,0.00338600451467269,0.0581017172238589,0,0,0,1,17.1075133594551,290.88588860222,0
"RACE_Other_Non_Hispanic",2658,0.0105342362678706,0.102113608689541,0,0,0,1,9.5939090516067,90.1108938751964,0
"RACE_Hispanic",2658,0.0270880361173815,0.162370542972768,0,0,0,1,5.82948191986469,32.0069423725428,0
"WORK_Not_working",2658,0.691873589164786,0.461805977473485,1,0,0,1,-0.831596305182876,-1.30943342909532,0
"WORK_Working",2658,0.308126410835214,0.461805977473485,0,0,0,1,0.831596305182876,-1.30943342909532,0
"MARRIAGE_Married",2658,0.63732129420617,0.480863656438948,1,0,0,1,-0.571574486676244,-1.67456319037446,0
"MARRIAGE_Living_with_a_partner",2658,0.0346124905944319,0.182830637755578,0,0,0,1,5.0947473303666,23.9744892943313,0
"MARRIAGE_Separated",2658,0.0124153498871332,0.110751179027128,0,0,0,1,8.81167697744129,75.702612690809,0
"MARRIAGE_Divorced",2658,0.145974416854778,0.353147003768061,0,0,0,1,2.00648548561599,2.0275090279707,0
"MARRIAGE_Widowed",2658,0.126787057938299,0.332796886947438,0,0,0,1,2.2445761396958,3.04040922323108,0
"MARRIAGE_Never_married",2658,0.0428893905191874,0.202645849733736,0,0,0,1,4.51482050955533,18.3974467460914,0
